ID,ID_CUSIP,COUNTRY,NAME,ISSUE_DT,TRADING_DT_REALTIME,FIRST_CPN_DT,PREV_CPN_DT,NXT_CPN_DT,PENULTIMATE_CPN_DT,MATURITY,INT_ACC_DT,SETTLE_DT,CPN_FREQ,CPN,CRNCY,PX_MID,SECURITY_TYP2,DAY_CNT_DES,SECURITY_DES,INT_ACC,DAYS_ACC,DAYS_TO_NEXT_COUPON,ACCRUED_DAYS_BETWEEN_CPN_DATES,YLD_YTM_BID,YLD_YTM_MID,YLD_YTM_ASK,YAS_ZSPREAD,YAS_ISPREAD,YAS_ISPREAD_TO_GOVT,YRS_TO_MTY_ISSUE,IS_US_ON_THE_RUN,TRADING_DT_REALTIME
GBM Govt,CBM     9,US,TREASURY BILL,25/10/2012,28/3/2013,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,25/4/2013,#N/A Field Not Applicable,1/4/2013,#N/A Field Not Applicable,0,USD,0.057499999,Bill,ACT/360,B 04/25/13,0,#N/A Field Not Applicable,24,0,0.060835765,0.058300845,0.055765933,#N/A N/A,#N/A N/A,#N/A N/A,0.498288843,N,28/3/2013
GB03 Govt,CB03    7,US,TREASURY BILL,28/6/2012,28/3/2013,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,27/6/2013,#N/A Field Not Applicable,1/4/2013,#N/A Field Not Applicable,0,USD,0.082499981,Bill,ACT/360,B 06/27/13,0,#N/A Field Not Applicable,87,0,0.08619824,0.083662494,0.081126779,#N/A N/A,#N/A N/A,#N/A N/A,0.996577687,N,28/3/2013
GB06 Govt,CB06    0,US,TREASURY BILL,28/3/2013,28/3/2013,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,26/9/2013,#N/A Field Not Applicable,1/4/2013,#N/A Field Not Applicable,0,USD,0.107500017,Bill,ACT/360,B 09/26/13,0,#N/A Field Not Applicable,178,0,0.111588484,0.109051036,0.106513651,#N/A N/A,#N/A N/A,#N/A N/A,0.498288843,N,28/3/2013
GB12 Govt,CB12    8,US,TREASURY BILL,7/3/2013,28/3/2013,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,6/3/2014,#N/A Field Not Applicable,1/4/2013,#N/A Field Not Applicable,0,USD,0.122500002,Bill,ACT/360,B 03/06/14,0,#N/A Field Not Applicable,339,0,0.126848325,0.124309159,0.121770084,#N/A N/A,#N/A N/A,#N/A N/A,0.996577687,N,28/3/2013
GT02 Govt,CT02    0,US,US TREASURY N/B,1/4/2013,28/3/2013,30/9/2013,31/3/2013,30/9/2013,30/9/2014,31/3/2015,31/3/2013,1/4/2013,2,0.25,USD,100.0117188,Note,ACT/ACT,T 0 1/4 03/31/15,0.00068306,1,182,183,0.2460762,0.2441146,0.242153,-17.51149956,-17.71729978,-0.0153,1.995893224,N,28/3/2013
GT03 Govt,CT03    8,US,US TREASURY N/B,15/3/2013,28/3/2013,15/9/2013,15/3/2013,15/9/2013,15/9/2015,15/3/2016,15/3/2013,1/4/2013,2,0.375,USD,100.0742188,Note,ACT/ACT,T 0 3/8 03/15/16,0.01732337,17,167,184,0.3510467,0.3497169,0.348387,-16.78712242,-17.26566423,-0.0387,3.000684463,N,28/3/2013
GT05 Govt,CT05    3,US,US TREASURY N/B,1/4/2013,28/3/2013,30/9/2013,31/3/2013,30/9/2013,30/9/2017,31/3/2018,31/3/2013,1/4/2013,2,0.75,USD,100.0273438,Note,ACT/ACT,T 0 3/4 03/31/18,0.00204918,1,182,183,0.7452126,0.7444149,0.7436173,-19.68403456,-19.94087384,0.03827,4.996577687,N,28/3/2013
GT07 Govt,CT07    9,US,US TREASURY N/B,28/2/2013,28/3/2013,31/8/2013,28/2/2013,31/8/2013,31/8/2019,29/2/2020,28/2/2013,1/4/2013,2,1.25,USD,100.3828125,Note,ACT/ACT,T 1 1/4 02/29/20,0.10869565,32,152,184,1.1932846,1.1921064,1.1909283,-21.96261782,-22.07950469,0.00717,7.000684463,N,28/3/2013
GT10 Govt,CT10    3,US,US TREASURY N/B,15/2/2013,28/3/2013,15/8/2013,15/2/2013,15/8/2013,15/8/2022,15/2/2023,15/2/2013,1/4/2013,2,2,USD,101.4765625,Note,ACT/ACT,T 2 02/15/23,0.24861878,45,136,181,1.8366063,1.8357448,1.8348834,-14.10713064,-14.38441932,0.01166,9.998631075,N,28/3/2013
GT30 Govt,CT30    1,US,US TREASURY N/B,15/2/2013,28/3/2013,15/8/2013,15/2/2013,15/8/2013,15/8/2042,15/2/2043,15/2/2013,1/4/2013,2,3.125,USD,100.8984375,Bond,ACT/ACT,T 3 1/8 02/15/43,0.38846685,45,136,181,3.0790763,3.0786768,3.0782774,11.60621576,10.53401962,-0.02774,29.99863107,N,28/3/2013
GTGBP3MO Corp,EJ4847582,EN,UK TREASURY BILL £,24/12/2012,28/3/2013,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,24/6/2013,#N/A Field Not Applicable,2/4/2013,#N/A Field Not Applicable,0,GBP,99.92,#N/A Field Not Applicable,ACT/365,UKTB 0 06/24/13,0,#N/A Field Not Applicable,83,182,0.413762431,0.3520889,0.290432649,-22.66680028,-21.92390581,-0.04326494,0.498288843,N,28/3/2013
GTGBP6MO Corp,EJ5965110,EN,UK TREASURY BILL £,25/3/2013,28/3/2013,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,23/9/2013,#N/A Field Not Applicable,2/4/2013,#N/A Field Not Applicable,0,GBP,99.828,#N/A Field Not Applicable,ACT/365,UKTB 0 09/23/13,0,#N/A Field Not Applicable,174,182,0.409850933,0.361426251,0.313023877,-29.24105038,-28.54451764,-0.002387684,0.498288843,N,28/3/2013
