ID,NAME,PX_BID,PX_MID,PX_ASK,COUNTRY,SETTLE_DT,MATURITY,TRADING_DT_REALTIME,SECURITY_TENOR_ONE,DAYS_TO_MTY,DAY_CNT_DES
USDR1T CMPN Curncy,USD DEPOSIT O/N,0.16,0.21,0.26,US,8/3/2013,8/3/2013,7/3/2013,1D,1,ACT/360
USDR1Z CMPN Curncy,USD DEPOSIT 1 WK,0.19,0.24,0.29,US,18/3/2013,18/3/2013,7/3/2013,1W,7,ACT/360
USDR2Z CMPN Curncy,USD DEPOSIT 2 WK,0.21,0.26,0.31,US,25/3/2013,25/3/2013,7/3/2013,2W,14,ACT/360
USDR3Z CMPN Curncy,USD DEPOSIT 3 WK,0.13,0.18,0.23,US,1/4/2013,1/4/2013,7/3/2013,3W,21,ACT/360
USDRA CMPN Curncy,USD DEPOSIT 1 MO,0.15,0.185,0.22,US,11/4/2013,11/4/2013,7/3/2013,1M,31,ACT/360
USDRB CMPN Curncy,USD DEPOSIT 2 MO,0.1728,0.2228,0.2728,US,13/5/2013,13/5/2013,7/3/2013,2M,63,ACT/360
USDRC CMPN Curncy,USD DEPOSIT 3 MO,0.2119,0.2619,0.3119,US,11/6/2013,11/6/2013,7/3/2013,3M,92,ACT/360
USDRD CMPN Curncy,USD DEPOSIT  4 MO,0.39,0.44,0.49,US,11/7/2013,11/7/2013,7/3/2013,4M,122,ACT/360
USDRE CMPN Curncy,USD DEPOSIT  5 MO,0.45,0.5,0.55,US,12/8/2013,12/8/2013,7/3/2013,5M,154,ACT/360
USDRF CMPN Curncy,USD DEPOSIT  6 MO,0.3822,0.4322,0.4822,US,11/9/2013,11/9/2013,7/3/2013,6M,184,ACT/360
USDRG CMPN Curncy,USD DEPOSIT 7 MO,0.384,0.509,0.634,US,11/10/2013,11/10/2013,7/3/2013,7M,214,ACT/360
USDRH CMPN Curncy,USD DEPOSIT 8 MO,0.57,0.62,0.67,US,12/11/2013,12/11/2013,7/3/2013,8M,246,ACT/360
USDRI CMPN Curncy,USD DEPOSIT  9 MO,0.531,0.581,0.631,US,11/12/2013,11/12/2013,7/3/2013,9M,275,ACT/360
USDRJ CMPN Curncy,USD DEPOSIT 10MO,0.4647,0.5897,0.7147,US,13/1/2014,13/1/2014,7/3/2013,10M,308,ACT/360
USDRK CMPN Curncy,USD DEPOSIT  11MO,0.4914,0.6164,0.7414,US,11/2/2014,11/2/2014,7/3/2013,11M,337,ACT/360
USDR1 CMPN Curncy,USD DEPOSIT 1 YR,0.6708,0.7208,0.7708,US,11/3/2014,11/3/2014,7/3/2013,12M,365,ACT/360
EUDR1T CMPN Curncy,EUR DEPOSIT          O/N,0.001,0.0205,0.04,EU,8/3/2013,8/3/2013,7/3/2013,1D,1,ACT/360
EUDR1Z CMPN Curncy,EUR DEPOSIT         1 WK,0.02,0.05,0.08,EU,18/3/2013,18/3/2013,7/3/2013,1W,7,ACT/360
EUDR2Z CMPN Curncy,EUR DEPOSIT         2 WK,0.04,0.06,0.08,EU,25/3/2013,25/3/2013,7/3/2013,2W,14,ACT/360
EUDR3Z CMPN Curncy,EUR DEPOSIT         3 WK,0.02,0.055,0.09,EU,2/4/2013,2/4/2013,7/3/2013,3W,22,ACT/360
EUDRA CMPN Curncy,EUR DEPOSIT         1 MO,0.01,0.06,0.11,EU,11/4/2013,11/4/2013,7/3/2013,1M,31,ACT/360
EUDRB CMPN Curncy,EUR DEPOSIT         2 MO,0.01,0.085,0.16,EU,13/5/2013,13/5/2013,7/3/2013,2M,63,ACT/360
EUDRC CMPN Curncy,EUR DEPOSIT         3 MO,0.04,0.115,0.19,EU,11/6/2013,11/6/2013,7/3/2013,3M,92,ACT/360
EUDRD CMPN Curncy,EUR DEPOSIT         4 MO,0.13,0.18,0.23,EU,11/7/2013,11/7/2013,7/3/2013,4M,122,ACT/360
EUDRE CMPN Curncy,EUR DEPOSIT         5 MO,0.18,0.225,0.27,EU,12/8/2013,12/8/2013,7/3/2013,5M,154,ACT/360
EUDRF CMPN Curncy,EUR DEPOSIT         6 MO,0.16,0.235,0.31,EU,11/9/2013,11/9/2013,7/3/2013,6M,184,ACT/360
EUDRG CMPN Curncy,EUR DEPOSIT         7 MO,0.19,0.265,0.34,EU,11/10/2013,11/10/2013,7/3/2013,7M,214,ACT/360
EUDRH CMPN Curncy,EUR DEPOSIT         8 MO,0.24,0.315,0.39,EU,12/11/2013,12/11/2013,7/3/2013,8M,246,ACT/360
EUDRI CMPN Curncy,EUR DEPOSIT         9 MO,0.27,0.345,0.42,EU,11/12/2013,11/12/2013,7/3/2013,9M,275,ACT/360
EUDRJ CMPN Curncy,EUR DEPOSIT        10 MO,0.31,0.385,0.46,EU,13/1/2014,13/1/2014,7/3/2013,10M,308,ACT/360
EUDRK CMPN Curncy,EUR DEPOSIT        11 MO,0.4,0.445,0.49,EU,11/2/2014,11/2/2014,7/3/2013,11M,337,ACT/360
EUDR1 CMPN Curncy,EUR DEPOSIT        12 MO,0.38,0.455,0.53,EU,11/3/2014,11/3/2014,7/3/2013,12M,365,ACT/360
