ID,NAME,PX_MID,TRADING_DT_REALTIME,SETTLE_DT,FUT_DLV_DT_FIRST,INT_RATE_FUT_END_DT,INT_RATE_FUT_START_DT,FUT_CONTRACT_DT,FUT_NOTL_MTY,FUT_ACT_DAYS_EXP,COUNTRY,INT_RT_DAY_CNT_DES
EDH3 Comdty,90DAY EURO$ FUTR  Mar13,99.71875,3/13/2013,3/14/2013,3/18/2013,6/19/2013,3/20/2013,03/2013,6/11/2013,5,US,ACT/360
EDJ3 Comdty,90DAY EURO$ FUTR  Apr13,99.7175,3/13/2013,3/14/2013,4/15/2013,7/17/2013,4/17/2013,04/2013,6/11/2013,33,US,ACT/360
EDK3 Comdty,90DAY EURO$ FUTR  May13,99.7125,3/13/2013,3/14/2013,5/13/2013,8/21/2013,5/15/2013,05/2013,6/11/2013,61,US,ACT/360
EDM3 Comdty,90DAY EURO$ FUTR  Jun13,99.7025,3/13/2013,3/14/2013,6/17/2013,9/18/2013,6/19/2013,06/2013,6/11/2013,96,US,ACT/360
EDN3 Comdty,90DAY EURO$ FUTR  Jul13,#N/A N/A,3/13/2013,3/14/2013,7/15/2013,10/16/2013,7/17/2013,07/2013,6/11/2013,124,US,ACT/360
EDQ3 Comdty,90DAY EURO$ FUTR  Aug13,#N/A N/A,3/13/2013,3/14/2013,8/19/2013,11/20/2013,8/21/2013,08/2013,6/11/2013,159,US,ACT/360
EDU3 Comdty,90DAY EURO$ FUTR  Sep13,99.6825,3/13/2013,3/14/2013,9/16/2013,12/18/2013,9/18/2013,09/2013,6/11/2013,187,US,ACT/360
EDZ3 Comdty,90DAY EURO$ FUTR  Dec13,99.6475,3/13/2013,3/14/2013,12/16/2013,3/19/2014,12/18/2013,12/2013,6/11/2013,278,US,ACT/360
EDH4 Comdty,90DAY EURO$ FUTR  Mar14,99.6125,3/13/2013,3/14/2013,3/17/2014,6/18/2014,3/19/2014,03/2014,6/11/2013,369,US,ACT/360
EDM4 Comdty,90DAY EURO$ FUTR  Jun14,99.5625,3/13/2013,3/14/2013,6/16/2014,9/17/2014,6/18/2014,06/2014,6/11/2013,460,US,ACT/360
EDU4 Comdty,90DAY EURO$ FUTR  Sep14,99.5025,3/13/2013,3/14/2013,9/15/2014,12/17/2014,9/17/2014,09/2014,6/11/2013,551,US,ACT/360
EDZ4 Comdty,90DAY EURO$ FUTR  Dec14,99.4225,3/13/2013,3/14/2013,12/15/2014,3/18/2015,12/17/2014,12/2014,6/11/2013,642,US,ACT/360
EDH5 Comdty,90DAY EURO$ FUTR  Mar15,99.3325,3/13/2013,3/14/2013,3/16/2015,6/17/2015,3/18/2015,03/2015,6/11/2013,733,US,ACT/360
EDM5 Comdty,90DAY EURO$ FUTR  Jun15,99.2275,3/13/2013,3/14/2013,6/15/2015,9/16/2015,6/17/2015,06/2015,6/11/2013,824,US,ACT/360
EDU5 Comdty,90DAY EURO$ FUTR  Sep15,99.1125,3/13/2013,3/14/2013,9/14/2015,12/16/2015,9/16/2015,09/2015,6/11/2013,915,US,ACT/360
EDZ5 Comdty,90DAY EURO$ FUTR  Dec15,98.975,3/13/2013,3/14/2013,12/14/2015,3/16/2016,12/16/2015,12/2015,6/11/2013,1006,US,ACT/360
