ID,PX_MID,PX_BID,PX_ASK,SECURITY_TENOR_ONE,DAY_CNT_DES,CRNCY,BASE_CRNCY,SETTLE_DT,TRADING_DT_REALTIME,MATURITY,DAYS_TO_MTY
EUR BGN Curncy,1.31255,1.3125,1.3126,#N/A Field Not Applicable,ACT/360,EUR,USD,12/3/2013,8/3/2013,12/3/2013,0
EUR1W BGN Curncy,0.52,0.39,0.65,1W,ACT/360,EUR,USD,19/3/2013,8/3/2013,19/3/2013,7
EUR2W BGN Curncy,1.065,0.99,1.14,2W,ACT/360,EUR,USD,26/3/2013,8/3/2013,26/3/2013,14
EUR3W BGN Curncy,1.805,1.78,1.83,3W,ACT/360,EUR,USD,2/4/2013,8/3/2013,2/4/2013,21
EUR1M BGN Curncy,2.53,2.44,2.62,1M,ACT/360,EUR,USD,12/4/2013,8/3/2013,12/4/2013,31
EUR2M BGN Curncy,5.31,5.21,5.41,2M,ACT/360,EUR,USD,13/5/2013,8/3/2013,13/5/2013,62
EUR3M BGN Curncy,8.065,7.94,8.19,3M,ACT/360,EUR,USD,12/6/2013,8/3/2013,12/6/2013,92
EUR4M BGN Curncy,10.8,10.6,11,4M,ACT/360,EUR,USD,12/7/2013,8/3/2013,12/7/2013,122
EUR5M BGN Curncy,13.675,13.44,13.91,5M,ACT/360,EUR,USD,12/8/2013,8/3/2013,12/8/2013,153
EUR6M BGN Curncy,16.575,15.92,17.23,6M,ACT/360,EUR,USD,12/9/2013,8/3/2013,12/9/2013,184
EUR7M BGN Curncy,19.975,19.2,20.75,7M,ACT/360,EUR,USD,15/10/2013,8/3/2013,15/10/2013,217
EUR8M BGN Curncy,22.85,22.09,23.61,8M,ACT/360,EUR,USD,12/11/2013,8/3/2013,12/11/2013,245
EUR9M BGN Curncy,26.05,25.09,27.01,9M,ACT/360,EUR,USD,12/12/2013,8/3/2013,12/12/2013,275
EUR10M BGN Curncy,30.05,29.06,31.04,10M,ACT/360,EUR,USD,13/1/2014,8/3/2013,13/1/2014,307
EUR11M BGN Curncy,33.3,32.31,34.29,11M,ACT/360,EUR,USD,12/2/2014,8/3/2013,12/2/2014,337
EUR12M BGN Curncy,36.625,35.91,37.34,12M,ACT/360,EUR,USD,12/3/2014,8/3/2013,12/3/2014,365
EUR15M BGN Curncy,47,45.5,48.5,15M,ACT/360,EUR,USD,12/6/2014,8/3/2013,12/6/2014,457
EUR18M BGN Curncy,56.5,54.45,58.55,18M,ACT/360,EUR,USD,12/9/2014,8/3/2013,12/9/2014,549
EUR21M BGN Curncy,66.04,56.2,75.88,21M,ACT/360,EUR,USD,12/12/2014,8/3/2013,12/12/2014,640
EUR2Y BGN Curncy,77,74.42,79.58,2Y,ACT/360,EUR,USD,12/3/2015,8/3/2013,12/3/2015,730
EUR3Y BGN Curncy,121,115.55,126.45,3Y,ACT/360,EUR,USD,14/3/2016,8/3/2013,14/3/2016,1098
EUR4Y BGN Curncy,186.05,178.82,193.28,4Y,ACT/360,EUR,USD,13/3/2017,8/3/2013,13/3/2017,1462
EUR5Y BGN Curncy,273,262.99,283.01,5Y,ACT/360,EUR,USD,12/3/2018,8/3/2013,12/3/2018,1826
EUR6Y BGN Curncy,376,356.46,395.54,6Y,ACT/360,EUR,USD,12/3/2019,8/3/2013,12/3/2019,2191
EUR7Y BGN Curncy,498,473.91,522.09,7Y,ACT/360,EUR,USD,12/3/2020,8/3/2013,12/3/2020,2557
EUR8Y BGN Curncy,629,601.46,656.54,8Y,ACT/360,EUR,USD,12/3/2021,8/3/2013,12/3/2021,2922
EUR9Y BGN Curncy,750.25,721.86,778.64,9Y,ACT/360,EUR,USD,14/3/2022,8/3/2013,14/3/2022,3289
EUR10Y BGN Curncy,880.75,849.03,912.47,10Y,ACT/360,EUR,USD,13/3/2023,8/3/2013,13/3/2023,3653
