ID,PX_MID,TRADING_DT_REALTIME,SETTLE_DT,OPT_EXPIRE_DT,TODAY_DT,BASE_CRNCY,CRNCY,VOL_CURRENCY_ISO_PAIR,OPT_DAYS_EXPIRE,VOL_INSTRUMENT_TYPE,SECURITY_TENOR_ONE,VOL_DELTA
EURUSDVON BGN Curncy,19.3175,26/2/2013,27/2/2013,27/2/2013,26/2/2013,EUR,USD,EURUSD,1,ATM,1D,#N/A Field Not Applicable
EURUSDV1W BGN Curncy,12.855,26/2/2013,7/3/2013,5/3/2013,26/2/2013,EUR,USD,EURUSD,7,ATM,1W,#N/A Field Not Applicable
EURUSDV2W BGN Curncy,11.2225,26/2/2013,14/3/2013,12/3/2013,26/2/2013,EUR,USD,EURUSD,14,ATM,2W,#N/A Field Not Applicable
EURUSDV3W BGN Curncy,10.4725,26/2/2013,21/3/2013,19/3/2013,26/2/2013,EUR,USD,EURUSD,21,ATM,3W,#N/A Field Not Applicable
EURUSDV1M BGN Curncy,9.99,26/2/2013,28/3/2013,26/3/2013,26/2/2013,EUR,USD,EURUSD,28,ATM,1M,#N/A Field Not Applicable
EURUSDV2M BGN Curncy,9.3875,26/2/2013,30/4/2013,26/4/2013,26/2/2013,EUR,USD,EURUSD,59,ATM,2M,#N/A Field Not Applicable
EURUSDV3M BGN Curncy,9.24,26/2/2013,31/5/2013,29/5/2013,26/2/2013,EUR,USD,EURUSD,92,ATM,3M,#N/A Field Not Applicable
EURUSDV6M BGN Curncy,9.27,26/2/2013,30/8/2013,28/8/2013,26/2/2013,EUR,USD,EURUSD,183,ATM,6M,#N/A Field Not Applicable
EURUSDV1Y BGN Curncy,9.515,26/2/2013,28/2/2014,26/2/2014,26/2/2013,EUR,USD,EURUSD,365,ATM,1Y,#N/A Field Not Applicable
EURUSDV18M BGN Curncy,9.78,26/2/2013,29/8/2014,27/8/2014,26/2/2013,EUR,USD,EURUSD,547,ATM,18M,#N/A Field Not Applicable
EURUSDV2Y BGN Curncy,9.895,26/2/2013,27/2/2015,25/2/2015,26/2/2013,EUR,USD,EURUSD,729,ATM,2Y,#N/A Field Not Applicable
EURUSDV3Y BGN Curncy,10.1575,26/2/2013,29/2/2016,25/2/2016,26/2/2013,EUR,USD,EURUSD,1094,ATM,3Y,#N/A Field Not Applicable
EURUSDV5Y BGN Curncy,10.6825,26/2/2013,28/2/2018,26/2/2018,26/2/2013,EUR,USD,EURUSD,1826,ATM,5Y,#N/A Field Not Applicable
EURUSDV7Y BGN Curncy,10.69,26/2/2013,28/2/2020,26/2/2020,26/2/2013,EUR,USD,EURUSD,2556,ATM,7Y,#N/A Field Not Applicable
EURUSDV10Y BGN Curncy,10.93,26/2/2013,28/2/2023,24/2/2023,26/2/2013,EUR,USD,EURUSD,3650,ATM,10Y,#N/A Field Not Applicable
EURUSD25RON BGN Curncy,-1.335,26/2/2013,27/2/2013,27/2/2013,26/2/2013,EUR,USD,EURUSD,1,RR,1D,25D
EURUSD25R1W BGN Curncy,-1.0275,26/2/2013,7/3/2013,5/3/2013,26/2/2013,EUR,USD,EURUSD,7,RR,1W,25D
EURUSD25R2W BGN Curncy,-0.9475,26/2/2013,14/3/2013,12/3/2013,26/2/2013,EUR,USD,EURUSD,14,RR,2W,25D
EURUSD25R3W BGN Curncy,-0.93,26/2/2013,21/3/2013,19/3/2013,26/2/2013,EUR,USD,EURUSD,21,RR,3W,25D
EURUSD25R1M BGN Curncy,-0.9,26/2/2013,28/3/2013,26/3/2013,26/2/2013,EUR,USD,EURUSD,28,RR,1M,25D
EURUSD25R2M BGN Curncy,-1.15,26/2/2013,30/4/2013,26/4/2013,26/2/2013,EUR,USD,EURUSD,59,RR,2M,25D
EURUSD25R3M BGN Curncy,-1.3025,26/2/2013,31/5/2013,29/5/2013,26/2/2013,EUR,USD,EURUSD,92,RR,3M,25D
EURUSD25R6M BGN Curncy,-1.4375,26/2/2013,30/8/2013,28/8/2013,26/2/2013,EUR,USD,EURUSD,183,RR,6M,25D
EURUSD25R1Y BGN Curncy,-1.5475,26/2/2013,28/2/2014,26/2/2014,26/2/2013,EUR,USD,EURUSD,365,RR,1Y,25D
EURUSD25R18M BGN Curncy,-1.565,26/2/2013,29/8/2014,27/8/2014,26/2/2013,EUR,USD,EURUSD,547,RR,18M,25D
