ID,NAME,SECURITY_NAME,INDX_SOURCE_NAME,PX_LAST,COUNTRY,TRADING_DT_REALTIME,DAY_CNT_DES
US00O/N Index,BBA LIBOR USD Overnight,LIBOR USD O/N,US00O/N,0.156,US,28/3/2013,ACT/360
US0001W Index,BBA LIBOR USD 1 Week,LIBOR USD 1W,US0001W,0.1752,GB,28/3/2013,ACT/360
US0002W Index,BBA LIBOR USD 2 Week,LIBOR USD 2W,US0002W,0.1879,GB,28/3/2013,ACT/360
US0001M Index,BBA LIBOR USD 1 Month,LIBOR USD 1M,US0001M,0.2037,GB,28/3/2013,ACT/360
US0002M Index,BBA LIBOR USD 2 Month,LIBOR USD 2M,US0002M,0.243,GB,28/3/2013,ACT/360
US0003M Index,BBA LIBOR USD 3 Month,LIBOR USD 3M,US0003M,0.2836,GB,28/3/2013,ACT/360
US0004M Index,BBA LIBOR USD 4 Month,LIBOR USD 4M,US0004M,0.3321,GB,28/3/2013,ACT/360
US0005M Index,BBA LIBOR USD 5 Month,LIBOR USD 5M,US0005M,0.3889,GB,28/3/2013,ACT/360
US0006M Index,BBA LIBOR USD 6 Month,LIBOR USD 6M,US0006M,0.4449,GB,28/3/2013,ACT/360
US0007M Index,BBA LIBOR USD 7 Month,LIBOR USD 7M,US0007M,0.5012,GB,28/3/2013,ACT/360
US0008M Index,BBA LIBOR USD 8 Month,LIBOR USD 8M,US0008M,0.5469,GB,28/3/2013,ACT/360
US0009M Index,BBA LIBOR USD 9 Month,LIBOR USD 9M,US0009M,0.5882,GB,28/3/2013,ACT/360
US0010M Index,BBA LIBOR USD 10 Month,LIBOR USD 10M,US0010M,0.6323,GB,28/3/2013,ACT/360
US0011M Index,BBA LIBOR USD 11 Month,LIBOR USD 11M,US0011M,0.6815,GB,28/3/2013,ACT/360
US0012M Index,BBA LIBOR USD 12 Month,LIBOR USD 12M,US0012M,0.7315,GB,28/3/2013,ACT/360
EUR001W Index,Euribor 1 Week ACT/360,Euribor 1 Week ACT/360,EUR001W,0.085,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR002W Index,Euribor 2 Week  ACT/360,Euribor 2 Week ACT/360,EUR002W,0.092,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR003W Index,Euribor 3 Week ACT/360,Euribor 3 Week ACT/360,EUR003W,0.101,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR001M Index,Euribor 1 Month ACT/360,Euribor 1M ACT/360,EUR001M,0.117,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR002M Index,Euribor 2 Month ACT/360,Euribor 2 Month ACT/360,EUR002M,0.17,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR003M Index,Euribor 3 Month ACT/360,Euribor 3 Month ACT/360,EUR003M,0.212,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR004M Index,Euribor 4 Month  ACT/360,Euribor 4 Month ACT/360,EUR004M,0.251,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR005M Index,Euribor 5 Month ACT/360,Euribor 5 Month ACT/360,EUR005M,0.291,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR006M Index,Euribor 6 Month ACT/360,Euribor 6 Month ACT/360,EUR006M,0.335,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR007M Index,Euribor 7 Month ACT/360,Euribor 7 Month ACT/360,EUR007M,0.37,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR008M Index,Euribor 8 Month ACT/360,Euribor 8 Month ACT/360,EUR008M,0.406,#N/A Field Not Applicable,28/3/2013,#N/A N/A
EUR009M Index,Euribor 9 Month ACT/360,Euribor 9 Month ACT/360,EUR009M,0.44,#N/A Field Not Applicable,28/3/2013,#N/A N/A
JY00S/N Index,BBA LIBOR JPY Spot Next,LIBOR JPY S/N,JY00S/N,0.09571,GB,28/3/2013,ACT/360
JY0001W Index,BBA LIBOR JPY 1 Week,LIBOR JPY 1W,JY0001W,0.10143,GB,28/3/2013,ACT/360
JY0002W Index,BBA LIBOR JPY 2 Week,LIBOR JPY 2 W,JY0002W,0.11286,GB,28/3/2013,ACT/360
JY0001M Index,BBA LIBOR JPY 1 Month,LIBOR JPY 1M,JY0001M,0.12429,GB,28/3/2013,ACT/360
JY0002M Index,BBA LIBOR JPY 2 Month,LIBOR JPY 2M,JY0002M,0.14071,GB,28/3/2013,ACT/360
JY0003M Index,BBA LIBOR JPY 3 Month,LIBOR JPY 3M,JY0003M,0.16143,GB,28/3/2013,ACT/360
JY0004M Index,BBA LIBOR JPY 4 Month,LIBOR JPY 4M,JY0004M,0.18786,GB,28/3/2013,ACT/360
JY0005M Index,BBA LIBOR JPY 5 Month,LIBOR JPY 5M,JY0005M,0.22929,GB,28/3/2013,ACT/360
JY0006M Index,BBA LIBOR JPY 6 Month,LIBOR JPY 6M,JY0006M,0.25857,GB,28/3/2013,ACT/360
JY0007M Index,BBA LIBOR JPY 7 Month,LIBOR JPY 7M,JY0007M,0.3,GB,28/3/2013,ACT/360
JY0008M Index,BBA LIBOR JPY 8 Month,LIBOR JPY 8M,JY0008M,0.34,GB,28/3/2013,ACT/360
JY0009M Index,BBA LIBOR JPY 9 Month,LIBOR JPY 9M,JY0009M,0.36857,GB,28/3/2013,ACT/360
JY0010M Index,BBA LIBOR JPY 10 Month,LIBOR JPY 10M,JY0010M,0.39857,GB,28/3/2013,ACT/360
JY0011M Index,BBA LIBOR JPY 11 Month,LIBOR JPY 11M,JY0011M,0.42571,GB,28/3/2013,ACT/360
JY0012M Index,BBA LIBOR JPY 12 Month,LIBOR JPY 12M,JY0012M,0.45071,GB,28/3/2013,ACT/360
SORF1D Index,Association of Banks in Singap,ABS SGD SWAP 1D,SORF1D,-0.00094,SI,28/3/2013,#N/A N/A
SORF1W Index,Association of Banks in Singap,ABS SGD SWAP 1W,SORF1W,0.07596,SI,28/3/2013,#N/A N/A
SORF1M Index,Association of Banks in Singap,ABS SGD SWAP 1M,SORF1M,0.14659,SI,28/3/2013,#N/A N/A
SORF2M Index,Association of Banks in Singap,ABS SGD SWAP 2M,SORF2M,0.17735,SI,28/3/2013,#N/A N/A
SORF3M Index,Association of Banks in Singap,ABS SGD SWAP 3M,SORF3M,0.20176,SI,28/3/2013,#N/A N/A
SORF6M Index,Association of Banks in Singap,ABS SGD SWAP 6M,SORF6M,0.34723,SI,28/3/2013,#N/A N/A
SORF9M Index,Association of Banks in Singap,ABS SGD SWAP 9M,SORF9M,0.47961,SI,28/3/2013,#N/A N/A
SORF12M Index,Association of Banks in Singap,ABS SGD SWAP 1Y,SORF12M,0.6387,SI,28/3/2013,#N/A N/A
KLIB1M Index,Klibor Interbank Offered Rate,Malaysia Interbank Fixing 1M,KLIB1M,3.1,MA,28/3/2013,#N/A N/A
KLIB2M Index,Klibor Interbank Offered Rate,Malaysia Interbank Fixing 2M,KLIB2M,3.18,MA,28/3/2013,#N/A N/A
KLIB3M Index,Klibor Interbank Offered Rate,Malaysia Interbank Fixing 3M,KLIB3M,3.21,MA,28/3/2013,#N/A N/A
KLIB6M Index,Klibor Interbank Offered Rate,Malaysia Interbank Fixing 6M,KLIB6M,3.25,MA,28/3/2013,#N/A N/A
KLIB9M Index,Malaysia Interbank Offered Rat,Malaysia Interbank Fixing 9M,KLIB9M,3.3,MA,28/3/2013,#N/A N/A
