ID,PX_BID,PX_MID,PX_ASK,NAME,SETTLE_DT,TRADING_DT_REALTIME,DAYS_TO_MTY_TDY,DAYS_TO_MTY,MTY_YEARS_TDY,DAY_CNT_DES,MTY_YEARS,SECURITY_TENOR_TWO,COUNTRY
EUSA2 BGN Curncy,0.4777,0.481,0.4843,EUR SWAP ANNUAL     2 YR,28/2/2013,26/2/2013,732,730,2.0055,30/360,2,2Y,EU
EUSA3 BGN Curncy,0.6096,0.6137,0.6178,EUR SWAP ANNUAL     3 YR,28/2/2013,26/2/2013,1097,1095,3.005,30/360,2.9996,3Y,EU
EUSA4 BGN Curncy,0.7759,0.78,0.7841,EUR SWAP ANNUAL     4 YR,28/2/2013,26/2/2013,1463,1461,4.0055,30/360,4,4Y,EU
EUSA5 BGN Curncy,0.963,0.967,0.971,EUR SWAP ANNUAL     5 YR,28/2/2013,26/2/2013,1828,1826,5.0055,30/360,5,5Y,EU
EUSA6 BGN Curncy,1.1517,1.15575,1.1598,EUR SWAP ANNUAL     6 YR,28/2/2013,26/2/2013,2193,2191,6.0055,30/360,6,6Y,EU
EUSA7 BGN Curncy,1.3294,1.333,1.3366,EUR SWAP ANNUAL     7 YR,28/2/2013,26/2/2013,2558,2556,7.005,30/360,6.9996,7Y,EU
EUSA8 BGN Curncy,1.4909,1.495,1.4991,EUR SWAP ANNUAL     8 YR,28/2/2013,26/2/2013,2924,2922,8.0055,30/360,8,8Y,EU
EUSA9 BGN Curncy,1.6402,1.644,1.6478,EUR SWAP ANNUAL     9 YR,28/2/2013,26/2/2013,3289,3287,9.0055,30/360,9,9Y,EU
EUSA10 BGN Curncy,1.7716,1.7755,1.7794,EUR SWAP ANNUAL    10 YR,28/2/2013,26/2/2013,3654,3652,10.0055,30/360,10,10Y,EU
EUSA15 BGN Curncy,2.2179,2.2235,2.2291,EUR SWAP ANNUAL    15 YR,28/2/2013,26/2/2013,5480,5478,15.005,30/360,14.9996,15Y,EU
EUSA20 BGN Curncy,2.37,2.3755,2.381,EUR SWAP ANNUAL    20 YR,28/2/2013,26/2/2013,7307,7305,20.0055,30/360,20,20Y,EU
EUSA25 BGN Curncy,2.4105,2.416,2.4215,EUR SWAP ANNUAL    25 YR,28/2/2013,26/2/2013,9133,9131,25.0055,30/360,25,25Y,EU
EUSA30 BGN Curncy,2.4204,2.426,2.4316,EUR SWAP ANNUAL    30 YR,28/2/2013,26/2/2013,10959,10957,30.0055,30/360,30,30Y,EU
USSWAP2 Curncy,0.391,0.393,0.395,USD SWAP SEMI 30/360 2YR,28/2/2013,26/2/2013,732,730,2.0055,30/360,2,2Y,US
USSWAP3 Curncy,0.508,0.50895,0.5099,USD SWAP SEMI 30/360 3YR,28/2/2013,26/2/2013,1097,1095,3.005,30/360,2.9996,3Y,US
USSWAP4 Curncy,0.693,0.6938,0.6946,USD SWAP SEMI 30/360 4YR,28/2/2013,26/2/2013,1463,1461,4.0055,30/360,4,4Y,US
USSWAP5 Curncy,0.9275,0.9275,0.9275,USD SWAP SEMI 30/360 5YR,28/2/2013,26/2/2013,1828,1826,5.0055,30/360,5,5Y,US
USSWAP6 Curncy,1.1731,1.1733,1.1735,USD SWAP SEMI 30/360 6YR,28/2/2013,26/2/2013,2193,2191,6.0055,30/360,6,6Y,US
USSWAP7 Curncy,1.403,1.404,1.405,USD SWAP SEMI 30/360 7YR,28/2/2013,26/2/2013,2558,2556,7.005,30/360,6.9996,7Y,US
USSWAP8 Curncy,1.6092,1.6112,1.6132,USD SWAP SEMI 30/360 8YR,28/2/2013,26/2/2013,2924,2922,8.0055,30/360,8,8Y,US
USSWAP9 Curncy,1.7915,1.7935,1.7955,USD SWAP SEMI 30/360 9YR,28/2/2013,26/2/2013,3289,3287,9.0055,30/360,9,9Y,US
USSWAP10 Curncy,1.9532,1.95385,1.9545,USD SWAP SEMI 30/360 10Y,28/2/2013,26/2/2013,3654,3652,10.0055,30/360,10,10Y,US
USSWAP15 Curncy,2.4991,2.49955,2.5,USD SWAP SEMI 30/360 15Y,28/2/2013,26/2/2013,5480,5478,15.005,30/360,14.9996,15Y,US
USSWAP20 Curncy,2.7346,2.73515,2.7357,USD SWAP SEMI 30/360 20Y,28/2/2013,26/2/2013,7307,7305,20.0055,30/360,20,20Y,US
USSWAP25 Curncy,2.85,2.8512,2.8524,USD SWAP SEMI 30/360 25Y,28/2/2013,26/2/2013,9133,9131,25.0055,30/360,25,25Y,US
USSWAP30 Curncy,2.918,2.9195,2.921,USD SWAP SEMI 30/360 30Y,28/2/2013,26/2/2013,10959,10957,30.0055,30/360,30,30Y,US
